grade,Unit,Deutsch,Spanisch
12,Unidad 1,das Restaurant,el restaurante
12,Unidad 1,die Gitarre,la guitarra
12,Unidad 1,die Bar,el bar
12,Unidad 1,man schreibt,se escribe
12,Unidad 1,der Name,el nombre
12,Unidad 1,der Nachname,el apellido
12,Unidad 1,mit,con
12,Unidad 1,Umlaut,dos puntos
12,Unidad 1,der Akzent,el acento
12,Unidad 1,die Hauptstadt,la capital
12,Unidad 1,Wie alt bist du?,¿Cuántos años tienes?
12,Unidad 1,Jahre,años
12,Unidad 1,die Telefonnummer,el número de teléfono
12,Unidad 1,das Handy,el móvil
12,Unidad 1,mein / meine,mi
12,Unidad 1,die Adresse,la dirección
12,Unidad 1,die E-Mail,el correo electrónico
12,Unidad 1,das @-Zeichen,la arroba
12,Unidad 1,der Punkt,el punto
12,Unidad 1,der Bindestrich,el guion
12,Unidad 1,der Unterstrich,el guion bajo
12,Unidad 2,die Familie,la familia
12,Unidad 2,meine (Pl.),mis
12,Unidad 2,der Hund,el perro
12,Unidad 2,der Vater,el padre
12,Unidad 2,die Mutter,la madre
12,Unidad 2,der Bruder / die Schwester,el hermano / la hermana
12,Unidad 2,die Stadt,la ciudad
12,Unidad 2,der feste Freund / die feste Freundin,el novio / la novia
12,Unidad 2,der beste Freund / die beste Freundin,el mejor amigo / la mejor amiga
12,Unidad 2,der Klassenkamerad / die Klassenkameradin,el compañero de clase / la compañera de clase
12,Unidad 2,er/sie heißt …,se llama …
12,Unidad 2,haben,tener
12,Unidad 2,Wie heißt …?,¿Cómo se llama …?
12,Unidad 2,das Haustier,la mascota
12,Unidad 2,Hast du …?,¿Tienes …?
12,Unidad 2,ich habe,tengo
12,Unidad 2,nein / nicht,no
12,Unidad 2,die Geschwister,los hermanos
12,Unidad 2,"das stimmt doch, oder?",¿Verdad?
12,Unidad 2,Wer … ? / Wer (Pl.) … ?,¿Quién … ? / ¿Quiénes … ?
12,Unidad 2,sein,ser
12,Unidad 2,der Großvater,el abuelo
12,Unidad 2,die Großmutter,la abuela
12,Unidad 2,der Onkel,el tío
12,Unidad 2,die Tante,la tía
12,Unidad 2,der Cousin / die Cousine,el primo / la prima
12,Unidad 2,die Eltern,los padres
12,Unidad 2,die Großeltern,los abuelos
12,Unidad 2,sprechen / reden,hablar
12,Unidad 2,die Sprache,el idioma
12,Unidad 2,Englisch,el inglés
12,Unidad 2,Katalanisch,el catalán
12,Unidad 2,arbeiten,trabajar
12,Unidad 2,das Gymnasium,el instituto
12,Unidad 2,der Sohn,el hijo
12,Unidad 2,die Tochter,la hija
12,Unidad 2,die Kinder,los hijos
12,Unidad 2,der Ingenieur / die Ingenieurin,el ingeniero / la ingeniera
12,Unidad 2,Deutsch,el alemán
12,Unidad 2,sehr schlecht,muy mal
12,Unidad 2,der Partner / die Partnerin,la pareja
12,Unidad 2,der Fotograf / die Fotografin,el fotógrafo / la fotógrafa
12,Unidad 2,kochen,cocinar
12,Unidad 2,immer,siempre
12,Unidad 2,hören,escuchar
12,Unidad 2,die Musik,la música
12,Unidad 2,lernen / studieren,estudiar
12,Unidad 2,ein bisschen,un poco
12,Unidad 2,Französisch,el francés
12,Unidad 2,verbringen,pasar
12,Unidad 2,die Ferien / der Urlaub,las vacaciones
12,Unidad 2,der Sommer,el verano
12,Unidad 2,nur,solo
12,Unidad 2,die Katze,el gato
12,Unidad 2,Das ist nicht richtig.,No es correcto.
12,Unidad 2,sein (Possessiv),su
12,Unidad 2,dein(e),tus
12,Unidad 2,Welche … ?,¿Qué … ?
12,Unidad 2,die Person,la persona
12,Unidad 2,das Haus,la casa
12,Unidad 2,feiern,celebrar
12,Unidad 2,die Party / das Fest,la fiesta
12,Unidad 2,Lust haben,tener ganas
12,Unidad 2,der Geburtstag,el cumpleaños
12,Unidad 2,hier,aquí
12,Unidad 2,das ist …,este / esta es …
12,Unidad 2,wie,como
12,Unidad 2,die Zeit,el tiempo
12,Unidad 2,die Freizeit,el tiempo libre
12,Unidad 2,tanzen,bailar
12,Unidad 2,der Salsa,la salsa
12,Unidad 2,lesen,leer
12,Unidad 2,der Comic,el cómic
12,Unidad 2,spielen (Instrument),tocar
12,Unidad 2,der Horror,el horror
12,Unidad 2,weil,porque
12,Unidad 2,wohnen / leben,vivir
12,Unidad 2,schreiben,escribir
12,Unidad 2,die Nachricht,el mensaje
12,Unidad 2,den ganzen Tag,todo el día
12,Unidad 2,dort,allí
12,Unidad 2,toll! / wie toll!,¡Qué guay!
12,Unidad 3,das (Stadt-)Viertel,el barrio
12,Unidad 3,das Dorf,el pueblo
12,Unidad 3,die Wohnung,el piso
12,Unidad 3,es gibt,hay
12,Unidad 3,die Diskothek,la discoteca
12,Unidad 3,das Kino,el cine
12,Unidad 3,das Schwimmbad / der Pool,la piscina
12,Unidad 3,der Supermarkt,el supermercado
12,Unidad 3,der Laden / das Geschäft,la tienda
12,Unidad 3,die Kleidung,la ropa
12,Unidad 3,das Bekleidungsgeschäft,la tienda de ropa
12,Unidad 3,die U-Bahn-Station,la parada de metro
12,Unidad 3,das Einkaufszentrum,el centro comercial
12,Unidad 3,viel,"mucho, -a"
12,Unidad 3,wenig,"poco, -a"
12,Unidad 3,deswegen / deshalb,por eso
12,Unidad 3,laut,"ruidoso, -a"
12,Unidad 3,alternativ,"alternativo, -a"
12,Unidad 3,interessant,interesante
12,Unidad 3,zum Beispiel,por ejemplo
12,Unidad 3,schön,"bonito, -a"
12,Unidad 3,alt,"antiguo, -a"
12,Unidad 3,modern,"moderno, -a"
12,Unidad 3,klein,"pequeño, -a"
12,Unidad 3,der Satz,la frase
12,Unidad 3,hässlich,"feo, -a"
12,Unidad 3,langweilig,"aburrido, -a"
12,Unidad 3,groß,grande
12,Unidad 3,ruhig,"tranquilo, -a"
12,Unidad 3,anders / unterschiedlich,diferente
12,Unidad 3,das Zentrum,el centro
12,Unidad 3,sich befinden / sein,estar
12,Unidad 3,da,ahí
12,Unidad 3,der Kilometer,el kilómetro
12,Unidad 3,toll / klasse,guay
12,Unidad 3,in der Nähe von,cerca de
12,Unidad 3,berühmt,"famoso, -a"
12,Unidad 3,das Gebäude,el edificio
12,Unidad 3,der Lieblings-,"favorito, -a"
12,Unidad 3,die Leute,la gente
12,Unidad 3,das Land,el país
12,Unidad 3,außerdem,además
12,Unidad 3,sich treffen / verabreden,quedar
12,Unidad 3,die Woche,la semana
12,Unidad 3,das Wochenende,el fin de semana
12,Unidad 3,trinken / essen,tomar
12,Unidad 3,der Bahnhof,la estación
12,Unidad 3,der Zug,el tren
12,Unidad 3,drinnen,dentro
12,Unidad 3,der Garten,el jardín
12,Unidad 3,die Pflanze,la planta
12,Unidad 3,neben,al lado de
12,Unidad 3,die Kunst,el arte
12,Unidad 3,die Aktivität,la actividad
12,Unidad 3,kulturell,cultural
12,Unidad 3,jung,joven
12,Unidad 3,der Tourist / die Touristin,el turista / la turista
12,Unidad 3,neu,"nuevo, -a"
12,Unidad 3,der öffentliche Nahverkehr,el transporte público
12,Unidad 3,gut,"bueno, -a"
12,Unidad 3,der Fluss,el río
12,Unidad 3,perfekt / ideal,"perfecto, -a"
12,Unidad 3,für,para
12,Unidad 3,der Spaziergang,el paseo
12,Unidad 3,das Fahrrad,la bicicleta
12,Unidad 3,multikulturell,multicultural
12,Unidad 3,die Universität,la universidad
12,Unidad 3,die Eisdiele,la heladería
12,Unidad 3,die Apotheke,la farmacia
12,Unidad 3,hinter,detrás de
12,Unidad 3,gegenüber von,enfrente de
12,Unidad 3,links von,a la izquierda de
12,Unidad 3,weit weg von,lejos de
12,Unidad 3,auf,encima de
12,Unidad 3,unter,debajo de
12,Unidad 3,vor,delante de
12,Unidad 3,zwischen,entre
12,Unidad 3,rechts von,a la derecha de
12,Unidad 3,das Wohnzimmer,el salón
12,Unidad 3,das Bad / die Toilette,el baño
12,Unidad 3,das Zimmer,la habitación
12,Unidad 3,die Küche,la cocina
12,Unidad 3,das Bett,la cama
12,Unidad 3,der Schrank,el armario
12,Unidad 3,der Computer,el ordenador
12,Unidad 3,der Balkon,el balcón
12,Unidad 3,der Stuhl,la silla
12,Unidad 3,der Tisch,la mesa
12,Unidad 3,der Fernseher,el televisor
12,Unidad 3,das Sofa,el sofá
12,Unidad 3,gehen / fahren,ir
12,Unidad 3,der Bus,el autobús
12,Unidad 3,das Auto,el coche
12,Unidad 3,nach / zu,a
12,Unidad 3,zu Fuß,a pie
12,Unidad 3,Entschuldigung,Perdón
12,Unidad 3,geradeaus,todo recto
12,Unidad 3,abbiegen,girar
12,Unidad 3,bis,hasta
12,Unidad 3,überqueren,cruzar
12,Unidad 3,nehmen,tomar
12,Unidad 3,am Ende von,al final de
12,Unidad 3,Vielen Dank,Muchas gracias
12,Unidad 3,die Linie,la línea
12,Unidad 4,mir gefällt etw. / ich mag etw.,me gusta algo
12,Unidad 4,nichts,nada
12,Unidad 4,sich ausruhen / eine Pause machen,descansar
12,Unidad 4,faul,"vago, -a"
12,Unidad 4,die Turnhalle / das Fitnessstudio,el gimnasio
12,Unidad 4,machen (unregelmäßig),hacer
12,Unidad 4,der Sport,el deporte
12,Unidad 4,Sport treiben,hacer deporte
12,Unidad 4,das Buch,el libro
12,Unidad 4,normalerweise,normalmente
12,Unidad 4,spielen (mit jdm),jugar (a)
12,Unidad 4,der Fußball,el fútbol
12,Unidad 4,reisen,viajar
12,Unidad 4,die Jugendlichen,los jóvenes
12,Unidad 4,benutzen / verwenden,usar
12,Unidad 4,sehen / anschauen,ver
12,Unidad 4,das Fernsehen,la televisión
12,Unidad 4,das Konzert,el concierto
12,Unidad 4,das Radio,la radio
12,Unidad 4,die Zeitung,el periódico
12,Unidad 4,die Zeitschrift,la revista
12,Unidad 4,das Theater,el teatro
12,Unidad 4,sehr / viel (Adverb),mucho (adv.)
12,Unidad 4,ich auch,a mí también
12,Unidad 4,ich auch nicht,a mí tampoco
12,Unidad 4,gefallen / mögen (Frage),¿Te gusta …?
12,Unidad 4,das Essen / die Mahlzeit,la comida
12,Unidad 4,mexikanisch,"mexicano, -a"
12,Unidad 4,der Kaffee,el café
12,Unidad 4,die Milch,la leche
12,Unidad 4,das Lied,la canción
12,Unidad 4,der Hamburger,la hamburguesa
12,Unidad 4,chatten,chatear
12,Unidad 4,der Tango,el tango
12,Unidad 4,die Schokolade,el chocolate
12,Unidad 4,mir gefällt etw. sehr / ich mache etw. sehr gerne,me encanta algo
12,Unidad 4,die Kultur,la cultura
12,Unidad 4,andere Aktivitäten,otras actividades
12,Unidad 4,der Reiseführer,la guía
12,Unidad 4,für,por
12,Unidad 4,das Geld,el dinero
12,Unidad 4,lecker,"rico, -a"
12,Unidad 4,essen,comer
12,Unidad 4,der Churro,el churro
12,Unidad 4,das Café / die Cafeteria,la cafetería
12,Unidad 4,das Fußballspiel,el partido de fútbol
12,Unidad 4,die Sonne,el sol
12,Unidad 4,sich sonnen,tomar el sol
12,Unidad 4,cool finden / gut gefallen,molar
12,Unidad 4,der Flohmarkt,el mercadillo
12,Unidad 4,besuchen,visitar
12,Unidad 4,der Sonntag,el domingo
12,Unidad 4,ausgehen,salir
12,Unidad 4,der Vergnügungspark / Freizeitpark,el parque de atracciones
12,Unidad 4,das Musical,el musical
12,Unidad 4,ich würde gerne …,me gustaría …
12,Unidad 4,können / dürfen,poder
12,Unidad 4,surfen,el surf
12,Unidad 4,nie,nunca
12,Unidad 4,das Mal,la vez
12,Unidad 4,pro Woche,a la semana
12,Unidad 4,manchmal,a veces
12,Unidad 4,fast,casi
12,Unidad 4,die Zeichnung,el dibujo
12,Unidad 4,vor (zeitlich),menos
12,Unidad 4,wie spät ist es?,¿Qué hora es?
12,Unidad 4,Viertel,cuarto
12,Unidad 4,morgens,de la mañana
12,Unidad 4,nachmittags / abends,de la tarde
12,Unidad 4,nachts,de la noche
12,Unidad 4,um wie viel Uhr …?,¿A qué hora …?
12,Unidad 4,der Montag,el lunes
12,Unidad 4,der Dienstag,el martes
12,Unidad 4,der Mittwoch,el miércoles
12,Unidad 4,der Donnerstag,el jueves
12,Unidad 4,der Freitag,el viernes
12,Unidad 4,der Samstag,el sábado
12,Unidad 4,am Morgen,por la mañana
12,Unidad 4,am Nachmittag,por la tarde
12,Unidad 4,tun müssen,tener que
12,Unidad 4,das Eis,el helado
12,Unidad 4,Lust haben,tener ganas
12,Unidad 4,und (vor i / hi),e
12,Unidad 4,von … bis,de … a
12,Unidad 4,der Kuss,el besito
12,Unidad 4,die Überraschung,la sorpresa
12,Unidad 4,die Eintrittskarte,la entrada
12,Unidad 4,warum,¿Por qué …?
12,Unidad 4,zusammen,"juntos, -as"
12,Unidad 4,wir sehen uns!,¡Nos vemos!
12,Unidad 4,kaufen,comprar
12,Unidad 4,das Geschenk,el regalo
12,Unidad 4,wann,¿Cuándo …?
12,Unidad 4,einkaufen gehen,ir de compras
12,Unidad 4,danach,después
12,Unidad 4,der Film,la película
12,Unidad 4,was hältst du davon?,¿Qué te parece?
12,Unidad 4,es tut mir leid,lo siento
12,Unidad 5,der Alltag,el día a día
12,Unidad 5,frühstücken,desayunar
12,Unidad 5,das Frühstück,el desayuno
12,Unidad 5,der Keks,la galleta
12,Unidad 5,auf etw./jdn warten,esperar algo / a alguien
12,Unidad 5,die Hausaufgaben,los deberes
12,Unidad 5,die Zwischenmahlzeit (am Nachmittag),la merienda
12,Unidad 5,zu Abend essen,cenar
12,Unidad 5,schlafen,dormir
12,Unidad 5,aufstehen,levantarse
12,Unidad 5,(sich) duschen,ducharse
12,Unidad 5,(sich) anziehen,ponerse algo
12,Unidad 5,sich waschen,lavarse
12,Unidad 5,der Zahn,el diente
12,Unidad 5,sich die Zähne putzen,lavarse los dientes
12,Unidad 5,der Unterricht / die Klasse,la clase
12,Unidad 5,zurückkommen / zurückkehren,volver
12,Unidad 5,der Teller,el plato
12,Unidad 5,abwaschen,lavar los platos
12,Unidad 5,am Abend / nachts,por la noche
12,Unidad 5,ausgehen,salir
12,Unidad 5,der Schlafanzug,el pijama
12,Unidad 5,gehen / weggehen,irse
12,Unidad 5,nach (Richtung),después de
12,Unidad 5,zu Fuß,a pie
12,Unidad 5,vor,antes de
12,Unidad 5,zuerst,primero
12,Unidad 5,dann / danach,entonces
12,Unidad 5,zum Schluss / am Ende,al final
12,Unidad 5,selten,pocas veces
12,Unidad 5,oft,muchas veces
12,Unidad 5,die Socke,el calcetín
12,Unidad 5,das belegte Brötchen,el bocadillo
12,Unidad 5,der Schüler / die Schülerin,el alumno / la alumna
12,Unidad 5,die Information,la información
12,Unidad 5,wichtig,importante
12,Unidad 5,der Schüleraustausch,el intercambio
12,Unidad 5,Vorsicht! / Achtung!,¡Cuidado!
12,Unidad 5,sich vorstellen,presentarse
12,Unidad 5,die Person,la persona
12,Unidad 5,unbekannt,"desconocido, -a"
12,Unidad 5,jdm etw. geben,dar algo a alguien
12,Unidad 5,die Hand,la mano
12,Unidad 5,der Schuh,el zapato
12,Unidad 5,um etw. zu tun,para hacer algo
12,Unidad 5,hineingehen / eintreten,entrar
12,Unidad 5,etw. tragen,llevar
12,Unidad 5,ohne,sin
12,Unidad 5,das Loch,el agujero
12,Unidad 5,das Frühstück,el desayuno
12,Unidad 5,frühstücken,desayunar
12,Unidad 5,das Müsli / die Frühstücksflocken,los cereales
12,Unidad 5,das Obst,la fruta
12,Unidad 5,das Brot,el pan
12,Unidad 5,der Käse,el queso
12,Unidad 5,die Butter,la mantequilla
12,Unidad 5,die Marmelade,la mermelada
12,Unidad 5,bleiben,quedarse
12,Unidad 5,die Wurst,el fiambre
12,Unidad 5,aufstehen!,¡Arriba!
12,Unidad 5,glauben / meinen,creer
12,Unidad 5,schwierig,difícil
12,Unidad 5,früh,temprano
12,Unidad 5,brauchen,necesitar
12,Unidad 5,vorbereiten,preparar
12,Unidad 5,die Pause,el recreo
12,Unidad 5,umdenken,cambiar
12,Unidad 5,das Handy,el chip
12,Unidad 5,die Frage,la pregunta
12,Unidad 5,der Gruß,el saludo
12,Unidad 5,mit jdm einverstanden sein,estar de acuerdo con
12,Unidad 5,die Tafel,la pizarra
12,Unidad 5,das Klassenzimmer,el aula
12,Unidad 5,das Labor,el laboratorio
12,Unidad 5,die Bibliothek,la biblioteca
12,Unidad 5,die Informatik,la Informática
12,Unidad 5,der Computerraum,el aula de informática
12,Unidad 5,das Sekretariat,la secretaría
12,Unidad 5,der Schulhof,el patio
12,Unidad 5,unser / eure,"nuestro, -a / vuestro, -a"
12,Unidad 5,die Wirtschaft,la Economía
12,Unidad 5,Mathematik,las Matemáticas
12,Unidad 5,Sport (Schulfach),la Educación Física
12,Unidad 5,Spanisch (Schulfach),Lengua y Literatura
12,Unidad 5,Geschichte,la Historia
12,Unidad 5,Kunst / Zeichnen,el Dibujo
12,Unidad 5,Philosophie,la Filosofía
12,Unidad 5,das Unterrichtsfach,la asignatura
12,Unidad 5,der Stundenplan,el horario
12,Unidad 5,wollen,querer
12,Unidad 5,ändern,cambiar
12,Unidad 5,anfangen / beginnen,empezar
12,Unidad 5,(be)enden,terminar
12,Unidad 5,lieber mögen,preferir
12,Unidad 5,die Minute,el minuto
12,Unidad 5,die Stunde,la hora
12,Unidad 5,die Prüfung / Klassenarbeit,el examen
12,Unidad 5,natürlich,por supuesto
12,Unidad 5,der Anschluss,la conexión
12,Unidad 5,das Internet,(el/la) Internet
12,Unidad 5,so / auf diese Weise,así
12,Unidad 5,laut / nach,según
12,Unidad 6,der Monat,el mes
12,Unidad 6,Januar,enero
12,Unidad 6,Februar,febrero
12,Unidad 6,März,marzo
12,Unidad 6,April,abril
12,Unidad 6,Mai,mayo
12,Unidad 6,Juni,junio
12,Unidad 6,Juli,julio
12,Unidad 6,August,agosto
12,Unidad 6,September,septiembre
12,Unidad 6,Oktober,octubre
12,Unidad 6,November,noviembre
12,Unidad 6,Dezember,diciembre
12,Unidad 6,der Kurs / das Schuljahr,el curso
12,Unidad 6,man muss,hay que
12,Unidad 6,etw. putzen / sauber machen,limpiar algo
12,Unidad 6,der Gast,el invitado / la invitada
12,Unidad 6,etw. trinken,beber algo
12,Unidad 6,einkaufen,hacer la compra
12,Unidad 6,die Einkaufsliste,la lista de la compra
12,Unidad 6,organisieren,organizar
12,Unidad 6,der Ort / der Platz,el lugar
12,Unidad 6,etw./jdn suchen,buscar algo / a alguien
12,Unidad 6,wenn / falls,si
12,Unidad 6,an etw./jdn denken,pensar en algo / alguien
12,Unidad 6,wie viel,"cuánto, -a"
12,Unidad 6,die Einladung,la invitación
12,Unidad 6,jdn einladen,invitar a alguien
12,Unidad 6,kommen,venir
12,Unidad 6,das Getränk,la bebida
12,Unidad 6,etwas,algo
12,Unidad 6,die Pizza,la pizza
12,Unidad 6,der Salat,la ensalada
12,Unidad 6,die Pommes frites / Chips,las patatas fritas
12,Unidad 6,etw. hinlegen / setzen / stellen,poner algo
12,Unidad 6,das Wasser,el agua
12,Unidad 6,der Saft,el zumo
12,Unidad 6,das Erfrischungsgetränk,el refresco
12,Unidad 6,etw. dekorieren / schmücken,decorar algo
12,Unidad 6,notwendig,"necesario, -a"
12,Unidad 6,das Spiel,el juego
12,Unidad 6,lustig,"divertido, -a"
12,Unidad 6,mehr,más
12,Unidad 6,die Hilfe,la ayuda
12,Unidad 6,die Arbeit,el trabajo
12,Unidad 6,jdm bei etw. helfen,ayudar a alguien
12,Unidad 6,das Gemüse,la verdura
12,Unidad 6,das Fleisch,la carne
12,Unidad 6,der Fisch,el pescado
12,Unidad 6,das Milchprodukt,el producto lácteo
12,Unidad 6,die Tomate,el tomate
12,Unidad 6,die Orange,la naranja
12,Unidad 6,die Kartoffel,la patata
12,Unidad 6,das Hähnchen,el pollo
12,Unidad 6,der Knoblauch,el ajo
12,Unidad 6,der Kopfsalat,la lechuga
12,Unidad 6,das Öl,el aceite
12,Unidad 6,der Reis,el arroz
12,Unidad 6,der Schinken,el jamón
12,Unidad 6,das Salz,la sal
12,Unidad 6,der Zucker,el azúcar
12,Unidad 6,die Karotte,la zanahoria
12,Unidad 6,die Zwiebel,la cebolla
12,Unidad 6,die Olive,la aceituna
12,Unidad 6,die Paprika,el pimiento
12,Unidad 6,das Ei,el huevo
12,Unidad 6,die Avocado,el aguacate
12,Unidad 6,die Ananas,la piña
12,Unidad 6,der Honig,la miel
12,Unidad 6,der Thunfisch,el atún
12,Unidad 6,der Joghurt,el yogur
12,Unidad 6,die Gurke,el pepino
12,Unidad 6,die Banane,el plátano
12,Unidad 6,die Tortilla,la tortilla
12,Unidad 6,das Kilo,el kilo
12,Unidad 6,der Liter,el litro
12,Unidad 6,das Dutzend,la docena
12,Unidad 6,die Packung,el paquete
12,Unidad 6,die Dose,la lata
12,Unidad 6,die Flasche,la botella
12,Unidad 6,die Tüte,la bolsa
12,Unidad 6,das Glas,el bote
12,Unidad 6,kosten,costar
12,Unidad 6,der Euro,el euro
12,Unidad 6,der Cent,el céntimo
12,Unidad 6,alles,todo
12,Unidad 6,das Tagesmenü,el menú del día
12,Unidad 6,das Gericht / der Gang,el plato
12,Unidad 6,die Vorspeise,el primer plato
12,Unidad 6,die Suppe,la sopa
12,Unidad 6,gemischt,"mixto, -a"
12,Unidad 6,patatas bravas,las patatas bravas
12,Unidad 6,die Krokette,la croqueta
12,Unidad 6,das Hauptgericht,el segundo plato
12,Unidad 6,gebraten / gegrillt,"asado, -a"
12,Unidad 6,der Tintenfisch,el calamar
12,Unidad 6,das Filet / Schnitzel,el filete
12,Unidad 6,das Schwein,el cerdo
12,Unidad 6,der Nachtisch / das Dessert,el postre
12,Unidad 6,der (Karamell-)Pudding,el flan
12,Unidad 6,der Obstsalat,la macedonia de frutas
12,Unidad 6,der Milchreis,el arroz con leche
12,Unidad 6,der Kellner / die Kellnerin,el camarero / la camarera
12,Unidad 6,die gefüllte Teigtasche,la empanadilla
12,Unidad 6,der russische Salat,la ensaladilla rusa
12,Unidad 6,noch ein(e),"otro, otra"
12,Unidad 6,eine Zutat haben,llevar algo
12,Unidad 6,bestellen / verlangen,pedir algo
12,Unidad 6,etw./jdn (mit)bringen,traer algo / a alguien
12,Unidad 6,die Idee,la idea
12,Unidad 6,sich etw. teilen,compartir algo
12,Unidad 6,schlecht,"malo, -a"
12,Unidad 6,die Kohlensäure,el gas
12,Unidad 6,jetzt / sofort,ahora
12,Unidad 6,salzig,"salado, -a"
12,Unidad 6,fade / ungesalzen,"soso, -a"
12,Unidad 6,zu (+ Adjektiv),demasiado
12,Unidad 6,scharf,picante
12,Unidad 6,die Portion,la ración
12,Unidad 6,der Kabeljau / Stockfisch,el bacalao
12,Unidad 6,jdm etw. sagen,decir algo a alguien
12,Unidad 6,die Rechnung,la cuenta
12,Unidad 6,das Chilipulver / der Chili,el chile
12,Unidad 6,die Zutat,el ingrediente
12,Unidad 6,der Mais,el maíz
12,Unidad 6,der Champignon,el champiñón
12,Unidad 6,die Salami,el salami
12,Unidad 6,kalt,"frío, -a"
12,Unidad 6,warm / heiß,caliente
12,Unidad 7,die Reise,el viaje
12,Unidad 7,allein,"solo, -a"
12,Unidad 7,der Frühling,la primavera
12,Unidad 7,der Herbst,el otoño
12,Unidad 7,der Winter,el invierno
12,Unidad 7,wohin?,¿Adónde?
12,Unidad 7,der Berg,la montaña
12,Unidad 7,das Gasthaus,el hostal
12,Unidad 7,der Campingplatz,el camping
12,Unidad 7,das (Ferien-)Apartment,el apartamento
12,Unidad 7,das Flugzeug,el avión
12,Unidad 7,das Schiff,el barco
12,Unidad 7,die Sehenswürdigkeit,el monumento
12,Unidad 7,Ski fahren,esquiar
12,Unidad 7,die Burg,el castillo
12,Unidad 7,die Wüste,el desierto
12,Unidad 7,das Tier,el animal
12,Unidad 7,die Kirche,la iglesia
12,Unidad 7,der Wald,el bosque
12,Unidad 7,der Turm,la torre
12,Unidad 7,der Baum,el árbol
12,Unidad 7,das Meer,el mar
12,Unidad 7,der Schnee,la nieve
12,Unidad 7,der See,el lago
12,Unidad 7,im Vordergrund,en primer plano
12,Unidad 7,im Hintergrund,al fondo
12,Unidad 7,der Süden,el sur
12,Unidad 7,der Norden,el norte
12,Unidad 7,der Osten,el este
12,Unidad 7,der Westen,el oeste
12,Unidad 7,die Region,la región
12,Unidad 7,bevölkert,"poblado, -a"
12,Unidad 7,eine Million,un millón
12,Unidad 7,der Einwohner / die Einwohnerin,el/la habitante
12,Unidad 7,die Provinz,la provincia
12,Unidad 7,hoch / groß,"alto, -a"
12,Unidad 7,der Meter,el metro
12,Unidad 7,die Küste,la costa
12,Unidad 7,lang,"largo, -a"
12,Unidad 7,das Wetter,el tiempo
12,Unidad 7,pro Jahr,al año
12,Unidad 7,etw. erzeugen / produzieren,producir algo
12,Unidad 7,das Produkt,el producto
12,Unidad 7,vor allem,sobre todo
12,Unidad 7,die Olive,la oliva
12,Unidad 7,die Tonne,la tonelada
12,Unidad 7,besucht,"visitado, -a"
12,Unidad 7,besuchen,visitar
12,Unidad 7,ungefähr,"unos, -as"
